Product;Min. Price;Max. Price;Link;Form Factor;Socket;Chipset;Memory slots;Connectors;Expansion
Asus TUF GAMING B850-PLUS WIFI;£234.72;£276.60;e-catalog.co.uk/ASUS-TUF-GAMING-B850-PLUS-WIFI.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
Gigabyte B650M D3HP;£105.99;£131.99;e-catalog.co.uk/GIGABYTE-B650M-D3HP.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
MSI B550-A PRO;£102.61;£157.71;e-catalog.co.uk/MSI-B550-A-PRO.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
Asus PRIME B450M-A II;£64.78;£93.38;e-catalog.co.uk/ASUS-PRIME-B450M-A-II.htm;micro-ATX;AMD AM4;AMD B450;4 х DDR4, 4400 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
Asus TUF GAMING B650M-PLUS WIFI;£154.49;£274.57;e-catalog.co.uk/ASUS-TUF-GAMING-B650M-PLUS-WIFI.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Asus PRIME A520M-K;£54.25;£89.67;e-catalog.co.uk/ASUS-PRIME-A520M-K.htm;micro-ATX;AMD AM4;AMD A520;2 х DDR4, 4600 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
ASRock B550M-HDV;£69.49;£109.99;e-catalog.co.uk/ASROCK-B550M-HDV.htm;micro-ATX;AMD AM4;AMD B550;2 х DDR4, 4733 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus TUF GAMING B760-PLUS WIFI;£149.99;£252.07;e-catalog.co.uk/ASUS-TUF-GAMING-B760-PLUS-WIFI.htm;ATX;Intel LGA 1700;Intel B760;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
ASRock B650M-H/M.2+;£95.99;£143.86;e-catalog.co.uk/ASROCK-B650M-H-M-2PLUS.htm;micro-ATX;AMD AM5;AMD B650;2 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
Asus TUF GAMING B850M-PLUS WIFI;£227.71;£382.92;e-catalog.co.uk/ASUS-TUF-GAMING-B850M-PLUS-WIFI.htm;micro-ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
ASRock B550M Phantom Gaming 4;£82.99;£119.99;e-catalog.co.uk/ASROCK-B550M-PHANTOM-GAMING-4.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
ASRock B450 Pro4;£74.99;£112.99;e-catalog.co.uk/ASROCK-B450-PRO4.htm;ATX;AMD AM4;AMD B450;4 х DDR4, 3200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 4, PCI-E 16x - 2
Asus TUF GAMING B550-PLUS;£121.99;£216.99;e-catalog.co.uk/ASUS-TUF-GAMING-B550-PLUS.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 3, PCI-E 16x - 2
